"company_ID","company","total_amount_CHF","research_and_development","total_known_amount_CHF","total_anon_amount_CHF","total_known_percentage","total_anon_percentage","HCP_amount_CHF","HCO_amount_CHF","HCP_percentage","HCO_percentage","HCP_known_amount_CHF","HCP_anon_amount_CHF","HCP_known_percentage","HCP_anon_percentage","HCO_known_amount_CHF","HCO_anon_amount_CHF","HCO_known_percentage","HCO_anon_percentage"
not specified,"Total",139952767,48181379,66158148,73794619,47.3,52.7,14346681,77424707,15.6,84.4,8465063,5881618,59,41,57693085,19731622,74.5,25.5
41,"Novartis",26601677,16233767,8634001,17967676,32.5,67.5,1297260,9070651,12.5,87.5,959530,337730,74,26,7674472,1396179,84.6,15.4
47,"Roche",11657607,6998109,4350218,7307389,37.3,62.7,754329,3905169,16.2,83.8,457525,296804,60.7,39.3,3892693,12476,99.7,0.3
13,"Bayer",9468745,2144045,3352712,6116033,35.4,64.6,1628299,5696401,22.2,77.8,551663,1076636,33.9,66.1,2801049,2895352,49.2,50.8
10,"AstraZeneca",8761583,3622360,3835812,4925771,43.8,56.2,405698,4733525,7.9,92.1,231804,173894,57.1,42.9,3604009,1129517,76.1,23.9
36,"Merck",8553162,2303382,5987081,2566081,70,30,362820,5886960,5.8,94.2,100121,262699,27.6,72.4,5886960,0,100,0
45,"Pfizer",6668247,1858318,1868099,4800148,28,72,581639,4228290,12.1,87.9,391384,190255,67.3,32.7,1476715,2751575,34.9,65.1
18,"Bristol-Myers Squibb",6516186,2380849,695777,5820409,10.7,89.3,423668,3711669,10.2,89.8,189646,234022,44.8,55.2,506131,3205538,13.6,86.4
2,"AbbVie",6038613,1044454,4942390,1096223,81.8,18.2,376913,4617246,7.5,92.5,362391,14522,96.1,3.9,4579999,37247,99.2,0.8
37,"MSD",5477029,1031039,3035714,2441314,55.4,44.6,690228,3755761,15.5,84.5,264573,425655,38.3,61.7,2771141,984620,73.8,26.2
31,"Janssen-Cilag",5273472,2239565,3033907,2239565,57.5,42.5,62765,2971142,2.1,97.9,62765,0,100,0,2971142,0,100,0
8,"Amgen",3941357,1344345,2311689,1629668,58.7,41.3,567861,2029151,21.9,78.1,283538,284323,49.9,50.1,2028151,1000,100,0
28,"Gilead",3318227,557917,1035163,2283064,31.2,68.8,304902,2455408,11,89,149070,155832,48.9,51.1,886093,1569315,36.1,63.9
53,"Takeda Pharma",3242140,414092,2542175,699965,78.4,21.6,373899,2454150,13.2,86.8,350431,23468,93.7,6.3,2191745,262405,89.3,10.7
29,"GlaxoSmithKline",2810348,176513,2633735,176613,93.7,6.3,137137,2496698,5.2,94.8,137037,100,99.9,0.1,2496698,0,100,0
49,"Sanofi-Aventis",2643805,297960,499091,2144714,18.9,81.1,609088,1736757,26,74,183010,426078,30,70,316081,1420676,18.2,81.8
3,"Actelion Pharma",2401382,1376522,672340,1729042,28,72,218865,805995,21.4,78.6,90785,128080,41.5,58.5,581554,224441,72.2,27.8
51,"Servier",2152591,7202,959739,1192852,44.6,55.4,279690,1865699,13,87,154018,125672,55.1,44.9,805721,1059978,43.2,56.8
56,"Vifor",1797858,205080,840412,957446,46.7,53.3,371948,1220830,23.4,76.6,164161,207787,44.1,55.9,676251,544579,55.4,44.6
42,"Novo Nordisk",1790547,205170,1106053,684494,61.8,38.2,640697,944680,40.4,59.6,480273,160424,75,25,625780,318900,66.2,33.8
23,"Eli Lilly",1710375,143504,1109738,600637,64.9,35.1,384457,1182414,24.5,75.5,180597,203860,47,53,929141,253273,78.6,21.4
15,"Biogen",1671639,640001,622521,1049118,37.2,62.8,218865,812772,21.2,78.8,111881,106984,51.1,48.9,510639,302133,62.8,37.2
19,"Celgene",1535321,570684,858664,676657,55.9,44.1,511499,453138,53,47,405526,105973,79.3,20.7,453138,0,100,0
20,"CSL Behring",1152788,281987,779798,372990,67.6,32.4,121426,749375,13.9,86.1,62423,59003,51.4,48.6,717375,32000,95.7,4.3
34,"A. Menarini",1107756,not specified,1107756,0,100,0,284416,823340,25.7,74.3,284416,0,100,0,823340,0,100,0
9,"Astellas Pharma",1067173,103739,816112,251061,76.5,23.5,209115,754319,21.7,78.3,135555,73560,64.8,35.2,680557,73761,90.2,9.8
38,"Mundipharma",1053121,125500,927621,125500,88.1,11.9,179379,748243,19.3,80.7,179379,0,100,0,748243,0,100,0
21,"Daiichi Sankyo",997714,8851,624710,373004,62.6,37.4,265327,723536,26.8,73.2,116344,148983,43.8,56.2,508366,215170,70.3,29.7
11,"Baxalta",938052,1000,937052,1000,99.9,0.1,6245,930807,0.7,99.3,6245,0,100,0,930807,0,100,0
17,"Boehringer Ingelheim",899594,199388,700206,199388,77.8,22.2,143598,556608,20.5,79.5,143598,0,100,0,556608,0,100,0
55,"UCB-Pharma",730649,680649,50000,680649,6.8,93.2,0,50000,0,100,0,0,not specified,not specified,50000,0,100,0
48,"Sandoz",670474,6659,233479,436995,34.8,65.2,214432,449383,32.3,67.7,129199,85233,60.3,39.7,104280,345103,23.2,76.8
12,"Baxter",662636,120000,542636,120000,81.9,18.1,44644,497992,8.2,91.8,44644,0,100,0,497992,0,100,0
22,"Eisai Pharma",641533,533682,70167,571366,10.9,89.1,28665,79186,26.6,73.4,14096,14569,49.2,50.8,56071,23115,70.8,29.2
33,"Lundbeck",635884,4780,631104,4780,99.2,0.8,215105,415999,34.1,65.9,215105,0,100,0,415999,0,100,0
54,"Teva",590330,0,387732,202598,65.7,34.3,231254,359076,39.2,60.8,61864,169390,26.8,73.2,325868,33208,90.8,9.2
35,"Mepha",579541,0,579541,0,100,0,145223,434318,25.1,74.9,145223,0,100,0,434318,0,100,0
25,"Future Health (Ipsen)",528278,284714,31931,496347,6,94,46451,197113,19.1,80.9,20982,25469,45.2,54.8,10949,186164,5.6,94.4
7,"Almirall",505358,18891,422156,83202,83.5,16.5,58588,427878,12,88,42602,15985,72.7,27.3,379554,48325,88.7,11.3
5,"Allergan",410895,not specified,117412,293483,28.6,71.4,217325,193570,52.9,47.1,54612,162713,25.1,74.9,62800,130770,32.4,67.6
24,"Ferring",372552,not specified,372552,0,100,0,72266,300286,19.4,80.6,72266,0,100,0,300286,0,100,0
46,"Pierre Fabre",358699,0,299978,58721,83.6,16.4,102822,255877,28.7,71.3,66539,36283,64.7,35.3,233439,22438,91.2,8.8
57,"Zambon",298810,0,281315,17495,94.1,5.9,17510,281300,5.9,94.1,16310,1200,93.1,6.9,265005,16295,94.2,5.8
14,"BGP Products",287751,0,263358,24393,91.5,8.5,49511,238240,17.2,82.8,44806,4705,90.5,9.5,218552,19688,91.7,8.3
44,"Otsuka Pharmaceutical",243991,0,228691,15300,93.7,6.3,88543,155448,36.3,63.7,73243,15300,82.7,17.3,155448,0,100,0
30,"Grünenthal",225326,7260,186561,38765,82.8,17.2,64983,153083,29.8,70.2,64983,0,100,0,121578,31505,79.4,20.6
43,"Orion Pharma",214008,not specified,214008,0,100,0,45352,168656,21.2,78.8,45352,0,100,0,168656,0,100,0
26,"Galderma",188894,not specified,59463,129431,31.5,68.5,136351,52543,72.2,27.8,59463,76888,43.6,56.4,0,52543,0,100
58,"LEO Pharma",153284,5000,23976,129308,15.6,84.4,37382,110902,25.2,74.8,9236,28146,24.7,75.3,14740,96162,13.3,86.7
16,"Biotest",150319,0,150319,0,100,0,9315,141004,6.2,93.8,9315,0,100,0,141004,0,100,0
52,"Stallergenes",120375,4400,115975,4400,96.3,3.7,60726,55249,52.4,47.6,60726,0,100,0,55249,0,100,0
4,"Alcon",85113,not specified,25550,59563,30,70,39242,45871,46.1,53.9,15850,23392,40.4,59.6,9700,36171,21.1,78.9
50,"Sanofi",42158,0,42158,0,100,0,8158,34000,19.4,80.6,8158,0,100,0,34000,0,100,0
39,"Neurim Pharmaceuticals",7800,0,7800,0,100,0,800,7000,10.3,89.7,800,0,100,0,7000,0,100,0
